Catégorie,Type de Donnée,Description Détaillée,Niveau de Sensibilité,Réglementation Applicable
1. IDENTIFICATION DE L'EMPLOYÉ,Matricule Employé,Identifiant unique dans l'entreprise,Élevée (PII),"RGPD Art.6, Loi 09-08"
1. IDENTIFICATION DE L'EMPLOYÉ,Numéro CNSS,Identifiant Caisse Nationale de Sécurité Sociale,Très Élevée (PII),"Loi 09-08, Code travail"
1. IDENTIFICATION DE L'EMPLOYÉ,Numéro CIN,Carte d'Identité Nationale,Très Élevée (PII),Loi 09-08
1. IDENTIFICATION DE L'EMPLOYÉ,Photo d'Identité Professionnelle,"Badge, carte employé",Élevée (PII),RGPD Art.6
1. IDENTIFICATION DE L'EMPLOYÉ,Signature Électronique/Manuscrite,Authentification documents,Élevée (PII),Loi 53-05 Maroc
1. IDENTIFICATION DE L'EMPLOYÉ,Données Biométriques (Pointage),"Empreintes, reconnaissance faciale",Très Élevée (SPI),"RGPD Art.9, Loi 09-08"
1. IDENTIFICATION DE L'EMPLOYÉ,Email Professionnel,Adresse email entreprise,Moyenne (PII),RGPD Art.6
1. IDENTIFICATION DE L'EMPLOYÉ,Numéro de Téléphone Professionnel,Ligne téléphonique travail,Moyenne (PII),RGPD Art.6
2. INFORMATIONS CONTRACTUELLES,Type de Contrat,"CDI, CDD, Intérim, Stage, etc.",Moyenne,Code du travail
2. INFORMATIONS CONTRACTUELLES,Date d'Embauche,Date de début de contrat,Moyenne,Code du travail
2. INFORMATIONS CONTRACTUELLES,Date de Fin de Contrat,Pour CDD/Stage,Moyenne,Code du travail
2. INFORMATIONS CONTRACTUELLES,Période d'Essai,Durée et résultat,Moyenne,Code du travail
2. INFORMATIONS CONTRACTUELLES,Poste/Fonction,Intitulé du poste occupé,Moyenne,RGPD Art.6
2. INFORMATIONS CONTRACTUELLES,Classification/Échelon,"Niveau hiérarchique, coefficient",Moyenne,Convention collective
2. INFORMATIONS CONTRACTUELLES,Service/Département,Unité organisationnelle,Faible,Interne
2. INFORMATIONS CONTRACTUELLES,Lieu de Travail,"Site, agence, télétravail",Moyenne,Code du travail
2. INFORMATIONS CONTRACTUELLES,Temps de Travail,"Temps plein, partiel, horaires",Moyenne,Code du travail
2. INFORMATIONS CONTRACTUELLES,Clause de Non-Concurrence,Restrictions post-emploi,Élevée,Code du travail
2. INFORMATIONS CONTRACTUELLES,Clause de Confidentialité,Engagements de secret,Élevée,Droit des contrats
2. INFORMATIONS CONTRACTUELLES,Avenant au Contrat,Modifications contractuelles,Moyenne,Code du travail
3. RÉMUNÉRATION ET AVANTAGES,Salaire Brut,Rémunération avant déductions,Très Élevée (PII),"RGPD, Code travail"
3. RÉMUNÉRATION ET AVANTAGES,Salaire Net,Rémunération après déductions,Très Élevée (PII),"RGPD, Code travail"
3. RÉMUNÉRATION ET AVANTAGES,Primes et Bonus,"Prime de rendement, 13ème mois, etc.",Élevée (PII),RGPD
3. RÉMUNÉRATION ET AVANTAGES,Heures Supplémentaires,Calcul et paiement,Élevée,Code du travail
3. RÉMUNÉRATION ET AVANTAGES,Indemnités,"Transport, repas, logement",Élevée,Code du travail
3. RÉMUNÉRATION ET AVANTAGES,Avantages en Nature,"Véhicule, logement, téléphone",Élevée,Fiscalité
3. RÉMUNÉRATION ET AVANTAGES,Participation/Intéressement,Parts sur bénéfices,Élevée (PII),RGPD
3. RÉMUNÉRATION ET AVANTAGES,Stock-Options/Actions,Attributions d'actions,Élevée (PII),RGPD
3. RÉMUNÉRATION ET AVANTAGES,Mutuelle/Prévoyance,Couverture santé complémentaire,Élevée (SPI),RGPD Art.9
3. RÉMUNÉRATION ET AVANTAGES,Retraite Complémentaire,Cotisations et droits acquis,Élevée (PII),RGPD
3. RÉMUNÉRATION ET AVANTAGES,RIB/Coordonnées Bancaires,Compte pour virement salaire,Très Élevée (PII),"PCI-DSS, RGPD"
3. RÉMUNÉRATION ET AVANTAGES,Bulletins de Paie,Historique des fiches de paie,Très Élevée (PII),"RGPD, Code travail"
